K1,K2,K3,K4,K5,K6
0,-0.13423061101053546,0.41865372506155685,0.41383486426479227,0.41467073185352094,0
1,-0.10343066681825416,0.051960296841170601,0.047029239052630387,0.04289851980542321,0
2,-0.16240514559526636,0.79447437856289294,0.79717271621509755,0.80054797571768199,0
3,-0.19816606677389476,1.1700369789831451,1.1645411963360006,1.1721014036318171,0
4,-0.1447696484379957,0.41068773864548508,0.40413356437592363,0.40564635381503211,0
5,-0.11661007345216823,0.042232817654220968,0.040147823557056636,0.042240297453672679,0
6,-0.15605479586076407,0.80238052658335102,0.80073684065383766,0.80675994916232763,0
7,-0.19082090371231494,1.1754037350897473,1.1767519689409183,1.1755645507779591,0
8,-0.13440638629765067,0.42585303203382829,0.42462073507415898,0.42389706447720599,0
9,-0.10004979746608096,0.032714772851919233,0.028939344078668307,0.028458766963895901,0
10,-0.16209473391802037,0.79135530219152961,0.79098692206853283,0.79674823759621294,0
11,-0.19036089604603473,1.1831602871211713,1.1753794257415293,1.1816979863283619,1
12,-0.13245415864075422,0.42969016915255581,0.42469927296840193,0.42149604885320685,1
13,-0.10859920823938618,0.052281928217594156,0.045709054449403465,0.043706338146207953,1
14,-0.15955534200416463,0.7923089766216227,0.78748263602540647,0.79098131221894408,1
15,-0.2009822112674638,1.1863990402837619,1.1752672287497536,1.1822664510866918,1
16,-0.13496737125652897,0.43152272001822495,0.43005480937582674,0.42690020395706779,1
17,-0.11319554500246234,0.030257658732032299,0.033012094880124729,0.034117235249114967,1
18,-0.15977225618826424,0.79591050005762132,0.79520926885902354,0.79646026531732206,1
19,-0.20219393877864089,1.1665326929400186,1.1571287150793554,1.1679575947355694,1
20,-0.1471220453655587,0.41716898487039228,0.41445568761928425,0.41337298664864913,1
21,-0.11408190123749005,0.037206392422671444,0.036157350549569034,0.038388200736041718,1
22,-0.16449574954201948,0.78110423704296028,0.7841204661718626,0.78763784186402941,1
23,-0.19320695973741062,1.1963060346575527,1.1882820797957301,1.1972971080849042,1
24,-0.15573503443420345,0.41053814265645083,0.41347957379083605,0.40763972036891299,1
25,-0.11368921176627524,0.03210142929687896,0.03345714294750151,0.03094954018131553,1
26,-0.14975680472242375,0.79646026531732206,0.79723629451043709,0.79935120780540825,1
27,-0.18691270849879615,1.1792520919076526,1.1688046820234756,1.1740798105867947,1
28,-0.14278376168356655,0.4369530544201668,0.42943772592106061,0.43224452066531499,1
29,-0.13008867206415073,0.021334257986141556,0.020094481227020525,0.017067032398940658,1
30,-0.17940672974900457,0.78783979644922564,0.7799317784789046,0.78741718778020398,1
31,-0.19661774828739065,1.1842934767381055,1.183476308648006,1.1892825029723963,1
32,-0.13389028013548265,0.42900950740245014,0.42284428270437768,0.42068449061269625,1
33,-0.11309082781013839,0.027535011731609643,0.025756689411965447,0.022800298678676834,1
34,-0.16264823907744697,0.77052032081878974,0.77097471863548117,0.77435371803779141,1
35,-0.20363754007282103,1.1882577704475121,1.1828068665970779,1.1889608715959727,1
36,-0.15139301085248544,0.42437577164211543,0.42528269732563534,0.42553888045685645,1
37,-0.11156120882226357,0.028608362952930112,0.029302114352076272,0.024232680273679412,1
38,-0.159985430472638,0.78858403649467079,0.78871680293493873,0.78871867288480169,1
39,-0.19898884471358291,1.1862569240941794,1.1861166778544598,1.1869076666464782,1
40,-0.14653114120887356,0.43133946493165803,0.4220663835613998,0.42359039269968585,1
41,-0.12181227397083295,0.023338844239199994,0.021463284526683564,0.021723207557630506,1
42,-0.15874004386392818,0.7835688309622989,0.7805825210312034,0.78928339774340583,1
43,-0.18766068844396722,1.1962424563622132,1.1929681741522269,1.1956889512027866,1
44,-0.14287351927698708,0.43179947259793822,0.428936579357796,0.42704606004637613,1
45,-0.11764976557595601,0.033013964829987655,0.030338066576138186,0.028469986663073467,1
46,-0.16513527239514075,0.78799313233798574,0.78220563751222461,0.78446266699677825,1
47,-0.1839058291192085,1.1930224026982517,1.1902604867507076,1.1992156766442681,1
48,-0.13559941431019851,0.43567026881419846,0.43241094620311554,0.42710589844198982,1
49,-0.11028216311602107,0.01828249980984363,0.014798783215209419,0.009078606584513739,1
50,-0.15674667731004729,0.78500121255730149,0.77898558384826322,0.78700579881035992,1
51,-0.1902711384526142,1.1923006020511615,1.1886598096680414,1.1911075740386137,1
52,-0.16181611138844415,0.42102482148774911,0.42536497511960419,0.42381478668323713,1
53,-0.11398840374434367,0.026794511585890291,0.023920398646570494,0.024296258569018951,1
54,-0.1291948360296713,0.78111545674213778,0.77483055525283795,0.78185221698813134,1
55,-0.18357297804360737,1.1995747070179501,1.1909935070969753,1.2030228945651888,1
56,-0.1367213842279551,0.44054335815698792,0.42834941510083668,0.42844104264412014,1
57,-0.10874506432869453,0.023267786144408744,0.026018482392775318,0.02233281121294492,1
58,-0.14165992181594703,0.78764158176375532,0.78734051983582398,0.79387225470703027,1
59,-0.18388712962057921,1.188721518013518,1.1906681358208258,1.194335107502027,1
60,-0.13493371215899627,0.43870332749186708,0.44154378133365418,0.43779453185848427,1
61,-0.10962394076427054,0.03113279526788244,0.026033441991678737,0.023701614512607959,1
62,-0.15852686957955442,0.77650416038015824,0.76813239484383111,0.77299239453758006,1
63,-0.1903047975501469,1.2049078040270198,1.199501778973296,1.206456122513524,1
64,-0.14592153755355913,0.42869161592575245,0.43075417062456167,0.42810071176906733,1
65,-0.11165844621513582,0.025148955706513959,0.018965031509812224,0.015668309901470775,1
66,-0.160553895230968,0.78742840747938159,0.78498064310880922,0.79370395921936676,1
67,-0.19587724814167129,1.1958722062893534,1.1918088052372116,1.1943687665995597,1
68,-0.14698366907570204,0.44412244219463143,0.44180183441473819,0.43575254660816726,1
69,-0.11071973138394614,0.012601592126269431,0.0084185142829002781,0.009576013248052493,1
70,-0.15455135617097024,0.78206539127250507,0.77674164401275003,0.78435420990472848,1
71,-0.18909680993869565,1.2051471576094746,1.2020785698844103,1.2048928444281164,1
72,-0.149104192220262,0.4342715463167286,0.43159938796260494,0.42964529035584559,1
73,-0.10933222858565382,0.026929147976021084,0.020412372703718224,0.020047732480447333,1
74,-0.16044169823919233,0.77230051308829684,0.76822963223670337,0.77798516067159695,1
